name,node_id,zone_id,node_type,ctrl_type,x_coord,y_coord,geometry
,100230,0,,,1508385.000000,1012418.000000,"POINT (1508385.000000 1012418.000000)"
,100231,0,,,1508385.000000,1013003.000000,"POINT (1508385.000000 1013003.000000)"
,100232,0,,,1510613.000000,1011636.000000,"POINT (1510613.000000 1011636.000000)"
,100233,0,,,1510613.000000,1010956.000000,"POINT (1510613.000000 1010956.000000)"
,100234,0,,,1511490.180000,1010596.521000,"POINT (1511490.180000 1010596.521000)"
,100235,0,,,1511483.000000,1011209.000000,"POINT (1511483.000000 1011209.000000)"
,100236,0,,,1517211.000000,1005144.000000,"POINT (1517211.000000 1005144.000000)"
,100237,0,,,1518592.491000,1005202.690000,"POINT (1518592.491000 1005202.690000)"
,100238,0,,,1534135.817000,998704.938000,"POINT (1534135.817000 998704.938000)"
,100239,0,,,1534135.817000,998272.312000,"POINT (1534135.817000 998272.312000)"
,100240,0,,,1535497.872000,998409.375000,"POINT (1535497.872000 998409.375000)"
,100241,0,,,1535495.441000,998261.125000,"POINT (1535495.441000 998261.125000)"
,100242,0,,,1535495.441000,998665.625000,"POINT (1535495.441000 998665.625000)"
,100243,0,,,1532967.000000,998780.000000,"POINT (1532967.000000 998780.000000)"
,100244,0,,,1512581.000000,1004259.000000,"POINT (1512581.000000 1004259.000000)"
,100245,0,,,1511773.942000,1004263.126000,"POINT (1511773.942000 1004263.126000)"
,100246,0,,,1511706.831000,1008155.604000,"POINT (1511706.831000 1008155.604000)"
,100247,0,,,1508277.814000,985429.109000,"POINT (1508277.814000 985429.109000)"
,100248,0,,,1522126.939000,1001522.121000,"POINT (1522126.939000 1001522.121000)"
,100249,0,,,1522142.873000,1002011.320000,"POINT (1522142.873000 1002011.320000)"
,100250,0,,,1522391.488000,1000375.522000,"POINT (1522391.488000 1000375.522000)"
,100251,0,,,1522837.778000,1000543.245000,"POINT (1522837.778000 1000543.245000)"
,100252,0,,,1522143.491000,1002527.763000,"POINT (1522143.491000 1002527.763000)"
,100253,0,,,1522159.550000,1002992.905000,"POINT (1522159.550000 1002992.905000)"
,100254,0,,,1522160.051000,1003290.151000,"POINT (1522160.051000 1003290.151000)"
,100255,0,,,1522100.000000,1000948.000000,"POINT (1522100.000000 1000948.000000)"
,100256,0,,,1524656.000000,993816.000000,"POINT (1524656.000000 993816.000000)"
,100257,0,,,1524656.000000,993155.000000,"POINT (1524656.000000 993155.000000)"
,100258,0,,,1526983.220000,998741.375000,"POINT (1526983.220000 998741.375000)"
,100259,0,,,1526983.220000,998226.250000,"POINT (1526983.220000 998226.250000)"
,100260,0,,,1515192.000000,1002235.000000,"POINT (1515192.000000 1002235.000000)"
,100261,0,,,1515192.000000,1001931.000000,"POINT (1515192.000000 1001931.000000)"
,100262,0,,,1515192.000000,1002521.000000,"POINT (1515192.000000 1002521.000000)"
,100263,0,,,1520626.000000,994451.000000,"POINT (1520626.000000 994451.000000)"
,100264,0,,,1521064.000000,1007392.000000,"POINT (1521064.000000 1007392.000000)"
,100265,0,,,1521662.000000,1007392.000000,"POINT (1521662.000000 1007392.000000)"
,100266,0,,,1509469.468000,987371.063000,"POINT (1509469.468000 987371.063000)"
,100267,0,,,1510830.000000,987301.000000,"POINT (1510830.000000 987301.000000)"
,100268,0,,,1521967.108000,1012958.852000,"POINT (1521967.108000 1012958.852000)"
,100269,0,,,1517505.138000,1014796.782000,"POINT (1517505.138000 1014796.782000)"
,100270,0,,,1533366.000000,1009972.000000,"POINT (1533366.000000 1009972.000000)"
,100271,0,,,1519005.655000,1001586.072000,"POINT (1519005.655000 1001586.072000)"
,100272,0,,,1518954.894000,1001068.609000,"POINT (1518954.894000 1001068.609000)"
,100273,0,,,1521706.886000,1001542.033000,"POINT (1521706.886000 1001542.033000)"
,100274,0,,,1521706.886000,1001057.454000,"POINT (1521706.886000 1001057.454000)"
,100275,0,,,1521712.520000,1002026.611000,"POINT (1521712.520000 1002026.611000)"
,100276,0,,,1522607.739000,1000999.776000,"POINT (1522607.739000 1000999.776000)"
,100277,0,,,1522132.618000,1001790.076000,"POINT (1522132.618000 1001790.076000)"
,100278,0,,,1521294.444000,1001332.331000,"POINT (1521294.444000 1001332.331000)"
,100279,0,,,1522113.801000,1001310.251000,"POINT (1522113.801000 1001310.251000)"
,100280,0,,,1522399.946000,1001299.744000,"POINT (1522399.946000 1001299.744000)"
,100281,0,,,1522842.948000,1001305.547000,"POINT (1522842.948000 1001305.547000)"
,100282,0,,,1522165.366000,1003486.825000,"POINT (1522165.366000 1003486.825000)"
,100283,0,,,1522640.668000,1002989.639000,"POINT (1522640.668000 1002989.639000)"
,100284,0,,,1522866.000000,1003247.000000,"POINT (1522866.000000 1003247.000000)"
,100285,0,,,1518981.739000,1003551.742000,"POINT (1518981.739000 1003551.742000)"
,100286,0,,,1519048.850000,1005336.913000,"POINT (1519048.850000 1005336.913000)"
,100287,0,,,1520485.094000,1003048.637000,"POINT (1520485.094000 1003048.637000)"
,100288,0,,,1520623.000000,1002561.000000,"POINT (1520623.000000 1002561.000000)"
,100289,0,,,1522865.058000,1002771.247000,"POINT (1522865.058000 1002771.247000)"
,100290,0,,,1522430.945000,1002781.003000,"POINT (1522430.945000 1002781.003000)"
,100291,0,,,1522142.026000,1002279.310000,"POINT (1522142.026000 1002279.310000)"
,100292,0,,,1521312.000000,1002320.000000,"POINT (1521312.000000 1002320.000000)"
,100293,0,,,1522140.752000,1002781.652000,"POINT (1522140.752000 1002781.652000)"
,100294,0,,,1521329.365000,1002798.556000,"POINT (1521329.365000 1002798.556000)"
,100295,0,,,1521718.651000,1002533.335000,"POINT (1521718.651000 1002533.335000)"
,100296,0,,,1521723.790000,1003007.038000,"POINT (1521723.790000 1003007.038000)"
,100297,0,,,1517800.573000,1001605.503000,"POINT (1517800.573000 1001605.503000)"
,100298,0,,,1517800.573000,1001068.609000,"POINT (1517800.573000 1001068.609000)"
,100299,0,,,1517840.840000,1002128.974000,"POINT (1517840.840000 1002128.974000)"
,100300,0,,,1515129.527000,1001095.454000,"POINT (1515129.527000 1001095.454000)"
,100301,0,,,1517842.115000,1002615.960000,"POINT (1517842.115000 1002615.960000)"
,100302,0,,,1515411.396000,1004061.791000,"POINT (1515411.396000 1004061.791000)"
,100303,0,,,1511748.000000,1009338.000000,"POINT (1511748.000000 1009338.000000)"
,100304,0,,,1512441.000000,1009338.000000,"POINT (1512441.000000 1009338.000000)"
,100305,0,,,1511898.172000,1012037.959000,"POINT (1511898.172000 1012037.959000)"
,100306,0,,,1536552.948000,1019620.090000,"POINT (1536552.948000 1019620.090000)"
,100307,0,,,1532378.630000,998466.062000,"POINT (1532378.630000 998466.062000)"
,100308,0,,,1506571.249000,985429.109000,"POINT (1506571.249000 985429.109000)"
,100309,0,,,1501304.434000,985487.956000,"POINT (1501304.434000 985487.956000)"
,100310,0,,,1511760.520000,1006544.924000,"POINT (1511760.520000 1006544.924000)"
,100311,0,,,1512079.128000,1007434.350000,"POINT (1512079.128000 1007434.350000)"
,100312,0,,,1511854.476000,1007430.798000,"POINT (1511854.476000 1007430.798000)"
,100313,0,,,1496051.375000,997920.675000,"POINT (1496051.375000 997920.675000)"
,100494,0,,,1503893.706000,983840.237000,"POINT (1503893.706000 983840.237000)"
,100495,0,,,1503923.130000,987621.163000,"POINT (1503923.130000 987621.163000)"
,100496,0,,,1502689.243000,988973.919000,"POINT (1502689.243000 988973.919000)"
,100497,0,,,1515371.363000,993317.367000,"POINT (1515371.363000 993317.367000)"
,100498,0,,,1512250.002000,993295.071000,"POINT (1512250.002000 993295.071000)"
,100499,0,,,1503896.000000,989828.000000,"POINT (1503896.000000 989828.000000)"
,100500,0,,,1510555.549000,993295.071000,"POINT (1510555.549000 993295.071000)"
,100501,0,,,1490778.980000,993401.625000,"POINT (1490778.980000 993401.625000)"
,100502,0,,,1493336.673000,994106.688000,"POINT (1493336.673000 994106.688000)"
,100503,0,,,1495995.451000,995176.750000,"POINT (1495995.451000 995176.750000)"
,100504,0,,,1498566.361000,996129.188000,"POINT (1498566.361000 996129.188000)"
,100505,0,,,1500924.227000,996065.000000,"POINT (1500924.227000 996065.000000)"
,100506,0,,,1501298.336000,996067.125000,"POINT (1501298.336000 996067.125000)"
,100507,0,,,1501300.104000,993442.875000,"POINT (1501300.104000 993442.875000)"
,100508,0,,,1501275.000000,991957.000000,"POINT (1501275.000000 991957.000000)"
,100509,0,,,1495995.000000,992023.000000,"POINT (1495995.000000 992023.000000)"
,100510,0,,,1495965.000000,990603.000000,"POINT (1495965.000000 990603.000000)"
,100511,0,,,1490760.387000,990645.250000,"POINT (1490760.387000 990645.250000)"
,100512,0,,,1539378.406000,969654.938000,"POINT (1539378.406000 969654.938000)"
,100513,0,,,1490688.439000,985633.562000,"POINT (1490688.439000 985633.562000)"
,100514,0,,,1493786.506000,986492.375000,"POINT (1493786.506000 986492.375000)"
,100515,0,,,1494239.948000,986618.250000,"POINT (1494239.948000 986618.250000)"
,100516,0,,,1495940.718000,987089.813000,"POINT (1495940.718000 987089.813000)"
,100517,0,,,1498523.174000,987848.250000,"POINT (1498523.174000 987848.250000)"
