              A,B,DISTANCE,STREET,ONEWAY,TAZID,LINKID,LANES,FT,SFF,SFF_TIME,CAP1HR1LN,Length,geometry
1397,11261,0.611250,Cent,2,1397,1397_11261,7,1,21.176470,1.731870,10000.000000,0.000000,"LINESTRING (-111.936589 40.553565 ,-111.934612 40.562298)",
1404,11257,0.138880,Cent,2,1404,1404_11257,7,1,16.216220,0.513860,10000.000000,0.000000,"LINESTRING (-111.908153 40.571760 ,-111.908371 40.569754)",
3689,11507,0.093980,300 West,2,1406,3689_11507,2,4,25.678100,0.219600,601.426000,0.000000,"LINESTRING (-111.900748 40.562521 ,-111.902527 40.562393)",
4156,10849,0.094600,500 West,2,1360,4156_10849,1,4,24.678100,0.230000,633.080000,0.000000,"LINESTRING (-111.900942 40.585620 ,-111.900672 40.584264)",
4156,10850,0.170030,500 West,2,1360,4156_10850,1,4,24.678100,0.413390,633.080000,0.000000,"LINESTRING (-111.900942 40.585620 ,-111.904175 40.585624)",
4804,5106,0.260360,700 West,2,1297,4804_5106,1,4,29.323210,0.532740,666.400000,0.000000,"LINESTRING (-111.910307 40.602331 ,-111.910268 40.598557)",
4804,5109,0.248860,700 West,2,1297,4804_5109,1,4,29.323210,0.509210,666.400000,0.000000,"LINESTRING (-111.910307 40.602331 ,-111.910315 40.605939)",
4899,5030,0.282620,700 West,2,1294,4899_5030,2,4,30.323210,0.559220,633.080000,0.000000,"LINESTRING (-111.910202 40.625016 ,-111.910235 40.620919)",
4952,1289,0.242690,Cent,2,1289,4952_1289,7,1,21.176470,0.687620,10000.000000,0.000000,"LINESTRING (-111.929251 40.616674 ,-111.933868 40.616707)",
4952,1290,0.251620,Cent,2,1290,4952_1290,7,1,21.176470,0.712920,10000.000000,0.000000,"LINESTRING (-111.929251 40.616674 ,-111.924502 40.617134)",
4952,5022,0.500730,1300 West,2,1289,4952_5022,1,4,32.255540,0.931430,666.400000,0.000000,"LINESTRING (-111.929251 40.616674 ,-111.929163 40.609415)",
4952,5440,0.513420,1300 West,2,1290,4952_5440,1,4,32.255540,0.955040,666.400000,0.000000,"LINESTRING (-111.929251 40.616674 ,-111.929189 40.624117)",
4958,1299,0.198750,Cent,2,1299,4958_1299,7,1,21.176470,0.563130,10000.000000,0.000000,"LINESTRING (-111.910232 40.618529 ,-111.908054 40.616174)",
4958,5010,0.118720,700 West,2,1299,4958_5010,2,3,36.363640,0.195890,814.416000,0.000000,"LINESTRING (-111.910232 40.618529 ,-111.910268 40.616808)",
4958,5030,0.164810,700 West,2,1295,4958_5030,2,3,36.363640,0.271940,814.416000,0.000000,"LINESTRING (-111.910232 40.618529 ,-111.910235 40.620919)",
