road_link_id,name,from_node_id,to_node_id,facility_type,link_type,direction,length,lanes,free_speed,capacity,demand_type_code,geometry,
3073296,,187,100289,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522629.092591 1002761.501225 ,1522865.150591 1002767.748225 )"
3073296,,187,100290,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522629.281884 1002768.488630 ,1522431.226884 1002784.491630 )"
3073296,,100000,100283,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522861.921543 1002984.250177 ,1522640.808543 1002993.136177 )"
3073296,,100000,100289,,1,1,1.00000,2,60.0,2000.0,"","LINESTRING (1522856.531642 1002980.670892 ,1522859.808642 1002771.164892 )"
3073296,,100010,100011,,1,1,1.00000,2,60.0,2000.0,"","LINESTRING (1522429.122456 1002517.418697 ,1522640.582456 1002513.972697 )"
3073296,,100010,100025,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522425.708258 1002522.710492 ,1522422.567258 1002264.010492 )"
3073296,,100010,100290,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522432.707921 1002522.644467 ,1522434.444921 1002780.979467 )"
3073296,,100011,135,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522637.186952 1002519.585733 ,1522610.518952 1002264.363733 )"
3073296,,100011,187,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522644.164063 1002519.387971 ,1522632.496063 1002765.165971 )"
3073296,,100011,100012,,1,1,1.00000,2,60.0,2000.0,"","LINESTRING (1522640.462547 1002513.976022 ,1522860.409547 1002505.362022 )"
3073296,,100012,100024,,1,1,1.00000,2,60.0,2000.0,"","LINESTRING (1522855.365495 1002510.535944 ,1522858.750495 1002263.927944 )"
3073296,,100024,135,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522864.000000 1002267.500000 ,1522614.000000 1002267.500000 )"
3073296,,100024,100028,,1,1,1.00000,2,60.0,2000.0,"","LINESTRING (1522858.750938 1002264.099232 ,1522853.725938 1001998.291232 )"
3073296,,100025,135,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522426.067596 1002260.468000 ,1522614.000596 1002260.500000 )"
3073296,,100025,100010,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522429.566742 1002263.925508 ,1522432.707742 1002522.625508 )"
3073296,,100025,100026,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522422.567646 1002264.035227 ,1522417.555646 1002003.146227 )"
3073296,,100026,100025,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522424.554354 1002003.011773 ,1522429.566354 1002263.900773 )"
3073296,,100026,100027,,1,1,1.00000,2,60.0,2000.0,"","LINESTRING (1522421.024224 1001997.829090 ,1522645.342224 1001996.514090 )"
3073296,,100026,100039,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522417.557889 1002003.221184 ,1522407.936889 1001766.586184 )"
3073296,,100026,100249,,1,1,1.00000,2,60.0,2000.0,"","LINESTRING (1522421.210460 1002008.326698 ,1522143.028460 1002016.567698 )"
3073296,,100027,109,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522641.888309 1002002.090998 ,1522620.515309 1001774.326998 )"
3073296,,100027,135,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522648.848218 1002002.179763 ,1522617.475218 1002264.415763 )"
