node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
100271,,1519005.655000,1001586.072000,,,176,"POINT (1519005.655000 1001586.072000)"
100272,,1518954.894000,1001068.609000,,,111,"POINT (1518954.894000 1001068.609000)"
100273,,1521706.886000,1001542.033000,,,179,"POINT (1521706.886000 1001542.033000)"
100274,,1521706.886000,1001057.454000,,,110,"POINT (1521706.886000 1001057.454000)"
100275,,1521712.520000,1002026.611000,,,178,"POINT (1521712.520000 1002026.611000)"
100276,,1522607.739000,1000999.776000,,,110,"POINT (1522607.739000 1000999.776000)"
100277,,1522132.618000,1001790.076000,,,178,"POINT (1522132.618000 1001790.076000)"
100278,,1521294.444000,1001332.331000,,,175,"POINT (1521294.444000 1001332.331000)"
100279,,1522113.801000,1001310.251000,,,179,"POINT (1522113.801000 1001310.251000)"
100280,,1522399.946000,1001299.744000,,,179,"POINT (1522399.946000 1001299.744000)"
100281,,1522842.948000,1001305.547000,,,180,"POINT (1522842.948000 1001305.547000)"
100282,,1522165.366000,1003486.825000,,,132,"POINT (1522165.366000 1003486.825000)"
100283,,1522640.668000,1002989.639000,,,187,"POINT (1522640.668000 1002989.639000)"
100284,,1522866.000000,1003247.000000,,,182,"POINT (1522866.000000 1003247.000000)"
100285,,1518981.739000,1003551.742000,,,183,"POINT (1518981.739000 1003551.742000)"
100287,,1520485.094000,1003048.637000,,,184,"POINT (1520485.094000 1003048.637000)"
100288,,1520623.000000,1002561.000000,,,184,"POINT (1520623.000000 1002561.000000)"
100289,,1522865.058000,1002771.247000,,,187,"POINT (1522865.058000 1002771.247000)"
100290,,1522430.945000,1002781.003000,,,186,"POINT (1522430.945000 1002781.003000)"
100291,,1522142.026000,1002279.310000,,,185,"POINT (1522142.026000 1002279.310000)"
100292,,1521312.000000,1002320.000000,,,184,"POINT (1521312.000000 1002320.000000)"
100293,,1522140.752000,1002781.652000,,,186,"POINT (1522140.752000 1002781.652000)"
100294,,1521329.365000,1002798.556000,,,184,"POINT (1521329.365000 1002798.556000)"
100295,,1521718.651000,1002533.335000,,,185,"POINT (1521718.651000 1002533.335000)"
100296,,1521723.790000,1003007.038000,,,186,"POINT (1521723.790000 1003007.038000)"
101764,,1518980.658000,1002970.577000,,,134,"POINT (1518980.658000 1002970.577000)"
101778,,1518726.714000,1002102.129000,,,177,"POINT (1518726.714000 1002102.129000)"
101834,,1519682.579000,999694.625000,,,114,"POINT (1519682.579000 999694.625000)"
101841,,1521278.795000,999778.312000,,,111,"POINT (1521278.795000 999778.312000)"
101842,,1521279.811000,1000644.577000,,,111,"POINT (1521279.811000 1000644.577000)"
101843,,1519694.000000,1000492.000000,,,114,"POINT (1519694.000000 1000492.000000)"
101844,,1522120.779000,1001005.778000,,,110,"POINT (1522120.779000 1001005.778000)"
101845,,1521295.371000,1001062.793000,,,111,"POINT (1521295.371000 1001062.793000)"
101846,,1520460.360000,1001068.936000,,,111,"POINT (1520460.360000 1001068.936000)"
101847,,1519705.596000,1001070.843000,,,111,"POINT (1519705.596000 1001070.843000)"
101853,,1519714.131000,1001577.667000,,,176,"POINT (1519714.131000 1001577.667000)"
101854,,1520512.343000,1001564.571000,,,175,"POINT (1520512.343000 1001564.571000)"
101855,,1521304.719000,1001539.352000,,,175,"POINT (1521304.719000 1001539.352000)"
101856,,1521304.000000,1001763.000000,,,108,"POINT (1521304.000000 1001763.000000)"
101857,,1521313.561000,1002034.144000,,,108,"POINT (1521313.561000 1002034.144000)"
101858,,1520513.479000,1002069.335000,,,108,"POINT (1520513.479000 1002069.335000)"
101859,,1519713.000000,1001842.000000,,,177,"POINT (1519713.000000 1001842.000000)"
101860,,1519722.366000,1002098.712000,,,134,"POINT (1519722.366000 1002098.712000)"
101861,,1518994.851000,1002104.817000,,,134,"POINT (1518994.851000 1002104.817000)"
101868,,1518985.389000,1002587.371000,,,134,"POINT (1518985.389000 1002587.371000)"
101869,,1519158.068000,1002587.371000,,,134,"POINT (1519158.068000 1002587.371000)"
101870,,1521321.588000,1002545.352000,,,184,"POINT (1521321.588000 1002545.352000)"
101871,,1521332.892000,1003007.299000,,,184,"POINT (1521332.892000 1003007.299000)"
101872,,1519736.375000,1003034.422000,,,134,"POINT (1519736.375000 1003034.422000)"
101878,,1519741.955000,1003531.096000,,,183,"POINT (1519741.955000 1003531.096000)"
101879,,1520489.805000,1003519.789000,,,133,"POINT (1520489.805000 1003519.789000)"
101880,,1521344.415000,1003505.900000,,,133,"POINT (1521344.415000 1003505.900000)"
101881,,1521345.600000,1003889.091000,,,133,"POINT (1521345.600000 1003889.091000)"
101882,,1519746.812000,1003954.412000,,,183,"POINT (1519746.812000 1003954.412000)"
101911,,1519283.438000,1002102.451000,,,134,"POINT (1519283.438000 1002102.451000)"
101913,,1520491.342000,1003616.397000,,,133,"POINT (1520491.342000 1003616.397000)"
101960,,1522440.700000,1003268.771000,,,132,"POINT (1522440.700000 1003268.771000)"
101986,,1522445.053000,1003489.325000,,,132,"POINT (1522445.053000 1003489.325000)"
101987,,1522704.195000,1003486.894000,,,182,"POINT (1522704.195000 1003486.894000)"
101988,,1522885.132000,1003482.577000,,,182,"POINT (1522885.132000 1003482.577000)"
101999,,1522436.948000,1002987.958000,,,186,"POINT (1522436.948000 1002987.958000)"
102000,,1520486.264000,1002971.450000,,,184,"POINT (1520486.264000 1002971.450000)"
102001,,1518979.088000,1003705.824000,,,183,"POINT (1518979.088000 1003705.824000)"
102006,,1522446.254000,1003630.603000,,,181,"POINT (1522446.254000 1003630.603000)"
102007,,1522710.109000,1003767.605000,,,181,"POINT (1522710.109000 1003767.605000)"
102009,,1522882.630000,1003767.605000,,,181,"POINT (1522882.630000 1003767.605000)"
102013,,1522165.366000,1003630.344000,,,181,"POINT (1522165.366000 1003630.344000)"
[background_image_coordinate_info]
left=0.000000
bottom=0.000000
right=1000.000000
top=1000.000000
width=1.000000
