node_id,x_coord,y_coord
112,1522717.343411633,1001762.3699740029
113,1522724.3170957505,1001761.7635666884
114,1522731.2907798677,1001761.1571593739
115,1522738.264463985,1001760.5507520593
116,1522745.2381481025,1001759.9443447448
117,1522752.21183222,1001759.3379374302
118,1522759.1855163372,1001758.7315301157
119,1522766.1592004546,1001758.1251228012
120,1522773.132884572,1001757.5187154865
121,1522780.1065686892,1001756.912308172
122,1522787.0802528067,1001756.3059008574
123,1522794.053936924,1001755.6994935429
124,1522801.0276210415,1001755.0930862284
125,1522808.0013051587,1001754.4866789138
126,1522814.9749892761,1001753.8802715993
127,1522821.9486733936,1001753.2738642846
128,1522828.922357511,1001752.6674569701
129,1522835.8960416282,1001752.0610496555
130,1522843.7343904607,1001751.3794541049
131,1522613.8819772291,1001777.1425491582
132,1522606.8863955068,1001776.8938799661
133,1522599.8908137847,1001776.6452107739
134,1522592.8952320623,1001776.3965415818
135,1522585.8996503402,1001776.1478723896
136,1522578.9040686178,1001775.8992031976
137,1522571.9084868955,1001775.6505340054
138,1522564.9129051734,1001775.4018648133
139,1522557.917323451,1001775.1531956212
140,1522550.9217417287,1001774.904526429
141,1522543.9261600066,1001774.6558572369
142,1522536.9305782842,1001774.4071880447
143,1522529.934996562,1001774.1585188527
144,1522522.9394148397,1001773.9098496605
145,1522515.9438331174,1001773.6611804684
146,1522508.9482513953,1001773.4125112763
147,1522501.952669673,1001773.1638420841
148,1522494.9570879505,1001772.915172892
149,1522487.9615062284,1001772.6665036998
150,1522480.965924506,1001772.4178345078
151,1522473.970342784,1001772.1691653156
152,1522466.9747610616,1001771.9204961235
153,1522459.9791793393,1001771.6718269314
154,1522452.9835976171,1001771.4231577392
155,1522445.9880158948,1001771.1744885471
156,1522438.9924341724,1001770.925819355
157,1522431.9968524503,1001770.6771501629
158,1522425.001270728,1001770.4284809707
159,1522421.3033535783,1001770.2970325642
160,1522619.697814807,1001764.3179959427
161,1522619.1281590022,1001757.3412135708
162,1522618.558503197,1001750.364431199
163,1522617.9888473921,1001743.3876488272
164,1522617.419191587,1001736.4108664554
165,1522616.8495357821,1001729.4340840835
166,1522616.279879977,1001722.4573017117
167,1522615.710224172,1001715.4805193399
168,1522615.140568367,1001708.503736968
169,1522614.570912562,1001701.5269545963
170,1522614.001256757,1001694.5501722244
171,1522613.431600952,1001687.5733898525
172,1522612.861945147,1001680.5966074808
173,1522612.292289342,1001673.6198251089
174,1522611.7226335371,1001666.643042737
175,1522611.152977732,1001659.6662603653
176,1522610.583321927,1001652.6894779934
177,1522610.013666122,1001645.7126956217
178,1522609.444010317,1001638.7359132498
179,1522608.874354512,1001631.7591308779
180,1522608.304698707,1001624.7823485062
181,1522607.735042902,1001617.8055661343
182,1522607.165387097,1001610.8287837625
183,1522606.595731292,1001603.8520013907
184,1522606.026075487,1001596.8752190188
185,1522605.456419682,1001589.898436647
186,1522604.886763877,1001582.9216542752
187,1522604.317108072,1001575.9448719034
188,1522603.747452267,1001568.9680895315
189,1522603.177796462,1001561.9913071597
190,1522602.608140657,1001555.0145247879
191,1522602.038484852,1001548.037742416
192,1522601.468829047,1001541.0609600443
193,1522600.899173242,1001534.0841776724
194,1522600.360402821,1001527.4856598623
195,1521884.9456327804,1000629.3483717883
196,1521891.9448237454,1000629.2419488778
197,1521898.9440147104,1000629.1355259673
