node_id,x_coord,y_coord
119,1521339.5678427727,1002801.4111706343
120,1521695.364136349,1002764.7383128672
121,1521714.3122822815,1002543.0006882093
122,1521702.5832336484,1002784.5521709219
123,1521726.1639261637,1002996.7125714582
124,1522625.9781407143,1002754.8452786126
125,1522636.697734122,1002529.0447790802
126,1522633.014000147,1002774.8049886699
127,1522643.6445763386,1002979.4709129968
128,1522639.0890911717,1002761.7657706747
129,1522855.154090841,1002767.4836792096
130,1522619.3143689341,1002769.2940133741
131,1522441.1943992178,1002783.6862472253
132,1522851.9296085879,1002984.6517289268
133,1522650.8004776954,1002992.7346252608
134,1522856.6880385475,1002970.6721149374
135,1522859.6522456727,1002781.1636688033
136,1522439.1211285999,1002517.2557563465
137,1522630.5837837409,1002514.1356376025
138,1522425.5868521305,1002512.711229032
139,1522422.6886637665,1002274.0097550405
140,1522432.7751576416,1002532.6442410937
141,1522434.3776841296,1002770.979693177
142,1522636.1477150877,1002509.6398799679
143,1522611.5581879627,1002274.3095855386
144,1522643.6898592857,1002529.3767213874
145,1522632.9702658781,1002755.1772209198
146,1522650.4548863308,1002513.5846818475
147,1522850.4172068823,1002505.753361442
148,1522855.5027439522,1002500.5368859553
149,1522858.6132450583,1002273.9270021254
150,1522854.0,1002267.5
151,1522624.0,1002267.5
152,1522858.561925427,1002254.1010179848
153,1522853.9149503405,1002008.2894450948
154,1522436.067595812,1002260.4697027853
155,1522604.0005961019,1002260.4982973163
156,1522429.6881478697,1002273.9247709679
157,1522432.5863362337,1002512.6262449594
158,1522422.3755687838,1002254.0370717666
159,1522417.747722609,1002013.1443820723
160,1522424.7464312161,1002013.0099282335
161,1522429.374277391,1002253.9026179278
162,1522431.024052085,1001997.7704690798
163,1522635.3423957315,1001996.5727113346
164,1522417.1516493307,1001993.2294389156
165,1522408.343129134,1001776.5779290154
166,1522411.214845539,1002008.6228127839
167,1522153.024075207,1002016.2715827917
168,1522640.9540296926,1001992.1347372336
169,1522621.4495879808,1001784.2832581671
170,1522647.6603239372,1002012.1089576705
171,1522618.6631123512,1002254.4865682743
172,1522635.403947915,1002007.0725309202
173,1522431.0856042684,1002008.2702886654
174,1522655.2838202028,1001996.3475304019
175,1522848.8886161002,1001993.1099374442
176,1522849.0641797972,1002003.6084695981
177,1522655.4593838998,1002006.8460625558
178,1522853.5223983654,1001988.3010124147
179,1522848.9547800838,1001764.1048629876
180,1522844.3407977754,1001758.3531382224
181,1522634.2656095393,1001776.6205458951
182,1522848.474859379,1001744.1493492033
183,1522842.2541742485,1001519.7896661033
184,1522421.5520227707,1001763.3014508418
185,1522614.1306464216,1001770.1469674358
186,1522415.337350669,1001776.2935610844
187,1522424.1458708658,1001992.9450709847
188,1522408.0065067285,1001756.4189169643
189,1522409.6626768115,1001527.7193925648
190,1522416.6624932715,1001527.7700830357
191,1522415.0063231885,1001756.4696074352
192,1522403.316404181,1001523.1472177833
193,1522137.0180683148,1001527.2175558871
194,1522409.1330298923,1001507.9764872558
195,1522397.0609397315,1001309.938431188
196,1522607.3371851929,1001526.9160040574
197,1522626.6745971788,1001763.7483401378
198,1522599.2920142356,1001507.3223877413
199,1522593.7450703138,1001280.082431886
200,1522593.0491708065,1001522.5109039522
201,1522423.249098322,1001522.9680579933
202,1522837.3928396981,1001515.2059783913
203,1522613.193195731,1001522.1709585262
204,1522841.7666452054,1001499.7601861398
205,1522837.9086594423,1001315.6547963348
206,1522399.5504898233,1000992.624950998
207,1522393.4715219408,1000635.124060243
208,1522413.1475097004,1000997.17818055
209,1522597.6683677516,1000994.6627949268
210,1522406.6096253823,1001012.6019499784
211,1522403.5559498544,1001289.783163587
212,1522831.490376743,1000987.3797620219
213,1522832.5046519113,1000553.2327074417
214,1522386.8553672195,1000628.7176282117
215,1521885.052055691,1000636.3475627532
216,1522400.4705101766,1000635.005049002
217,1522406.5494780592,1000992.505939757
218,1522393.0889328993,1000615.1427667647
219,1522388.2016531103,1000385.5942353089
220,1522393.1663330167,999912.7336584849
221,1522839.2665618046,1000089.4468228165
222,1522386.3485524624,999921.3066263837
223,1522394.7971814547,1000365.4572437634
224,1522838.2285514076,1000096.3694331923
225,1522390.0257027016,999918.9895709865
226,1521458.388715466,1003808.0906189902
227,1521828.5989625584,1003753.9829674921
228,1521443.0202363164,1003821.7459948712
229,1521355.7286762071,1003885.9829590906
230,1521198.3839334135,1002555.4540757166
231,1520849.5948008297,1002677.013977879
232,1521216.5102457348,1002543.3054833332
233,1521311.4325478652,1002540.4094002853
234,1521269.4682774635,1000583.4644095263
235,1520453.5179738924,1000486.6538342237
236,1521276.2983479747,1000571.171437197
237,1521275.3076576304,999788.3164211826
238,1521283.311,1000591.167
239,1521283.311,1000634.577
240,1520435.0149775404,999722.8790899093
241,1520447.3350758527,1000471.9437945002
242,1520421.2256266254,999717.9419298578
243,1519882.657054262,999704.7699545894
244,1519692.447647674,999700.1179311927
