link_id,from_node_id,to_node_id,lanes,geometry
18,36,37,1,"LINESTRING(1519307.4764547257 1002620.5407784865,1519167.1971054955 1002592.747749283)"
19,38,39,1,"LINESTRING(1519313.8069092522 1002609.3066701537,1519280.6126737094 1002112.6621474063)"
20,40,41,1,"LINESTRING(1519328.5506863953 1002618.5879514971,1520477.7007962016 1002965.2112869351)"
21,42,43,1,"LINESTRING(1522618.5202849123 1002273.582120032,1522643.1098120373 1002508.9124144614)"
22,44,45,1,"LINESTRING(1522624.0 1002260.5,1522854.0 1002260.5)"
23,46,47,1,"LINESTRING(1522603.999404188 1002267.4982972147,1522436.0664038982 1002267.4697026837)"
24,48,49,1,"LINESTRING(1522611.7126760627 1002253.6550423295,1522640.7098876487 1002011.2774317256)"
25,50,51,1,"LINESTRING(1520513.5505768585 1001343.9140885199,1520458.953969506 1001079.4370989067)"
26,52,53,1,"LINESTRING(1520522.1837782376 1001363.1051252409,1520516.1557592566 1001554.6860181156)"
27,54,55,1,"LINESTRING(1519006.624909269 1001383.9554021914,1519009.0295422277 1001576.0289693442)"
28,56,57,1,"LINESTRING(1518997.9865921652 1001364.6664185929,1518952.9926711714 1001079.0318090593)"
29,58,59,1,"LINESTRING(1519010.20251802 1001855.1091390359,1519002.455612706 1001596.1721941043)"
30,60,61,1,"LINESTRING(1519008.5158233417 1001874.0649769101,1518736.6541771533 1002098.462546924)"
31,62,63,1,"LINESTRING(1519023.8164562385 1001868.9858734196,1519278.24973367 1002093.2134736814)"
32,64,65,1,"LINESTRING(1521677.4650137136 1001813.7129282821,1521702.4525926625 1001551.65562435)"
33,66,67,1,"LINESTRING(1521685.0405325554 1001833.3189608627,1521714.3910069368 1002016.182705171)"
34,68,69,1,"LINESTRING(1521689.7104363733 1001819.7623797429,1522122.3843767508 1001787.3331993892)"
35,70,71,1,"LINESTRING(1521669.568566332 1001825.8534269962,1521313.310451618 1001768.0562328538)"
36,72,73,1,"LINESTRING(1521700.0034383081 1001337.8093058731,1521709.8735251634 1001531.8681245262)"
37,74,75,1,"LINESTRING(1521692.9048760338 1001317.8673691652,1521702.9867836935 1001067.3051985156)"
38,76,77,1,"LINESTRING(1521686.0383287985 1001331.6076456134,1521304.4811656203 1001335.7229472743)"
39,78,79,1,"LINESTRING(1521705.8424357886 1001324.078717334,1522103.661458556 1001307.1785906347)"
40,80,81,1,"LINESTRING(1522600.7429857643 1001279.9116122588,1522606.289929686 1001507.1515681141)"
41,82,83,1,"LINESTRING(1522593.8998581835 1001259.8689032815,1522603.844663021 1001009.6291284114)"
42,84,85,1,"LINESTRING(1522587.6343935563 1001274.9533237267,1522410.35637529 1001301.71226988)"
43,86,87,1,"LINESTRING(1522607.3978177975 1001267.9664353833,1522833.551491894 1001300.6525505504)"
44,88,89,1,"LINESTRING(1521829.611284534 1003760.9093810098,1521459.4010374416 1003815.0170325079)"
45,90,91,1,"LINESTRING(1521848.0855660832 1003750.5500010139,1522435.7528120016 1003629.1976350576)"
46,92,93,1,"LINESTRING(1521847.0746386796 1003749.1406844223,1522154.776230427 1003630.6707726894)"
47,94,95,1,"LINESTRING(1522668.3774097164 1003260.4668127539,1522638.3366787543 1002999.9741314094)"
48,96,97,1,"LINESTRING(1522682.5155710098 1003265.3412546368,1522855.6560932605 1003244.707928151)"
49,98,99,1,"LINESTRING(1522662.981623203 1003273.4470460333,1522450.6813433073 1003272.3238560031)"
50,100,101,1,"LINESTRING(1520847.2910665865 1002670.4039242835,1521196.0801991704 1002548.844022121)"
51,102,103,1,"LINESTRING(1520828.5341124742 1002675.352214123,1520630.1540010602 1002568.8147468822)"
52,104,105,1,"LINESTRING(1520831.1927325574 1002669.8378372622,1520515.1158492332 1002079.8026035741)"
53,106,107,1,"LINESTRING(1520833.5660846308 1002686.0951945422,1520496.1837299918 1002967.7285813341)"
54,108,109,1,"LINESTRING(1521735.5412954718 1002297.3890711203,1521710.0120828578 1002036.9047044647)"
