link_id,from_node_id,to_node_id,lanes,geometry
134 102000,134,102000,1,"LINESTRING(1519318.9767412983 1002615.7001192161,1520487.2747412983 1002968.0991192161)"
135 100011,135,100011,1,"LINESTRING(1522617.4810484748 1002263.6362672468,1522644.1490484749 1002518.8582672467)"
135 100024,135,100024,1,"LINESTRING(1522614.0 1002260.5,1522864.0 1002260.5)"
135 100025,135,100025,1,"LINESTRING(1522613.999404043 1002267.4999999492,1522426.066404043 1002267.4679999492)"
135 100027,135,100027,1,"LINESTRING(1522610.5247818558 1002263.5842370276,1522641.8977818557 1002001.3482370275)"
175 101846,175,101846,1,"LINESTRING(1520515.5722731822 1001353.7075937133,1520456.9322731823 1001069.6435937133)"
175 101854,175,101854,1,"LINESTRING(1520522.498268747 1001353.1100716783,1520515.841268747 1001564.6810716783)"
176 100271,176,100271,1,"LINESTRING(1519006.4997257483 1001373.9561857678,1519009.1547257483 1001586.0281857678)"
176 100272,176,100272,1,"LINESTRING(1518999.5426316683 1001374.5446138261,1518951.4366316684 1001069.1536138261)"
177 100271,177,100271,1,"LINESTRING(1519010.501565363 1001865.1046665701,1519002.156565363 1001586.1766665701)"
177 101778,177,101778,1,"LINESTRING(1519016.2280002476 1001867.699261917,1518728.9420002475 1002104.828261917)"
177 101911,177,101911,1,"LINESTRING(1519016.3140949542 1001862.3741735505,1519285.7520949543 1002099.8251735505)"
178 100273,178,100273,1,"LINESTRING(1521676.515803188 1001823.667776316,1521703.401803188 1001541.7007763161)"
178 100275,178,100275,1,"LINESTRING(1521683.455769746 1001823.4453330168,1521715.9757697461 1002026.0563330168)"
178 100277,178,100277,1,"LINESTRING(1521679.738406562 1001820.509789566,1522132.356406562 1001786.585789566)"
178 101856,178,101856,1,"LINESTRING(1521679.439508975 1001827.454829925,1521303.439508975 1001766.454829925)"
179 100273,179,100273,1,"LINESTRING(1521699.4954817358 1001327.8222151996,1521710.3814817357 1001541.8552151996)"
179 100274,179,100274,1,"LINESTRING(1521692.5028298637 1001327.8592838404,1521703.3888298636 1001057.3132838404)"
179 100278,179,100278,1,"LINESTRING(1521696.0377472094 1001331.4997964439,1521294.4817472093 1001335.8307964439)"
179 100279,179,100279,1,"LINESTRING(1521695.8514471725 1001324.5031539843,1522113.6524471724 1001306.7541539844)"
180 100041,180,100041,1,"LINESTRING(1522600.4989577252 1001269.9145901863,1522606.5339577252 1001517.1485901864)"
180 100276,180,100276,1,"LINESTRING(1522593.5027606022 1001269.8610158465,1522604.2417606022 1000999.6370158464)"
180 100280,180,100280,1,"LINESTRING(1522597.522384423 1001273.4607968034,1522400.468384423 1001303.2047968033)"
180 100281,180,100281,1,"LINESTRING(1522597.5006548457 1001266.5359929668,1522843.4486548458 1001302.0829929669)"
181 100163,181,100163,1,"LINESTRING(1521839.5061609878 1003759.4632067588,1521449.5061609878 1003816.4632067588)"
181 102006,181,102006,1,"LINESTRING(1521838.2921890423 1003752.5723180358,1522445.5461890423 1003627.1753180358)"
181 102013,181,102013,1,"LINESTRING(1521837.7424345533 1003752.7337285558,1522164.1084345533 1003627.0777285559)"
182 100283,182,100283,1,"LINESTRING(1522669.5230442353 1003270.4009720817,1522637.1910442354 1002990.0399720817)"
182 100284,182,100284,1,"LINESTRING(1522672.585832135 1003266.5245913939,1522865.585832135 1003243.5245913939)"
182 101960,182,101960,1,"LINESTRING(1522672.9814832553 1003273.4999510183,1522440.6814832552 1003272.2709510182)"
184 100165,184,100165,1,"LINESTRING(1520837.8481328785 1002673.6949732022,1521205.5231328786 1002545.5529732022)"
184 100288,184,100288,1,"LINESTRING(1520837.3440567672 1002680.0834805026,1520621.3440567672 1002564.0834805026)"
184 101858,184,101858,1,"LINESTRING(1520835.9147908953 1002678.6527204182,1520510.3937908954 1002070.9877204181)"
184 102000,184,102000,1,"LINESTRING(1520841.2429073113 1002679.6868879382,1520488.5069073113 1002974.1368879381)"
185 100275,185,100275,1,"LINESTRING(1521736.5166891648 1002307.3413877925,1521709.0366891648 1002026.9523877925)"
